Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U2,ESC,inverse_socket_MX_hotswap,-2.381515,95.2498,0.0,top
U3,custom1,inverse_socket_MX_hotswap,283.368485,38.0998,0.0,top
U4,F1,inverse_socket_MX_hotswap,45.243485,95.2498,0.0,top
U5,F2,inverse_socket_MX_hotswap,64.293485,95.2498,0.0,top
U6,F3,inverse_socket_MX_hotswap,83.343485,95.2498,0.0,top
U7,F4,inverse_socket_MX_hotswap,102.393485,95.2498,0.0,top
U8,F5,inverse_socket_MX_hotswap,126.205985,95.2498,0.0,top
U9,F6,inverse_socket_MX_hotswap,145.255985,95.2498,0.0,top
U10,F7,inverse_socket_MX_hotswap,164.305985,95.2498,0.0,top
U11,F8,inverse_socket_MX_hotswap,183.355985,95.2498,0.0,top
U12,F9,inverse_socket_MX_hotswap,207.168485,95.2498,0.0,top
U13,F10,inverse_socket_MX_hotswap,226.218485,95.2498,0.0,top
U14,F11,inverse_socket_MX_hotswap,245.268485,95.2498,0.0,top
U15,F12,inverse_socket_MX_hotswap,264.318485,95.2498,0.0,top
U16,PR_SC,inverse_socket_MX_hotswap,283.368485,95.2498,0.0,top
U17,SCRLC,inverse_socket_MX_hotswap,302.418485,95.2498,0.0,top
U18,PoBr,inverse_socket_MX_hotswap,321.468485,95.2498,0.0,top
U19,`,inverse_socket_MX_hotswap,-2.381515,76.1998,0.0,top
U20,1,inverse_socket_MX_hotswap,16.668485,76.1998,0.0,top
U21,2,inverse_socket_MX_hotswap,35.718485,76.1998,0.0,top
U22,3,inverse_socket_MX_hotswap,54.768485,76.1998,0.0,top
U23,4,inverse_socket_MX_hotswap,73.818485,76.1998,0.0,top
U24,5,inverse_socket_MX_hotswap,92.868485,76.1998,0.0,top
U25,6,inverse_socket_MX_hotswap,111.918485,76.1998,0.0,top
U26,7,inverse_socket_MX_hotswap,130.968485,76.1998,0.0,top
U27,8,inverse_socket_MX_hotswap,150.018485,76.1998,0.0,top
U28,9,inverse_socket_MX_hotswap,169.068485,76.1998,0.0,top
U29,0,inverse_socket_MX_hotswap,188.118485,76.1998,0.0,top
